guid,act,tas,wa,vic,qld,nsw,sa,nt
https://id.biodiversity.org.au/node/apni/2886829,0,0,0,0,1,0,0,1
https://id.biodiversity.org.au/node/apni/2918147,0,0,0,0,1,1,1,0
https://id.biodiversity.org.au/node/apni/2912389,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/taxon/apni/51266855,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2907367,1,1,1,1,1,1,1,1
https://id.biodiversity.org.au/node/apni/2892188,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2913021,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2906817,0,0,0,0,1,1,0,0
https://id.biodiversity.org.au/node/apni/2900848,0,0,1,0,1,1,0,1
https://id.biodiversity.org.au/name/apni/222362,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2911030,1,1,0,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2911997,0,0,0,0,1,0,0,0
NZOR-6-135802,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2888853,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2906641,0,0,0,1,0,0,0,0
https://id.biodiversity.org.au/node/apni/2891158,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2912618,1,0,1,1,1,0,0,0
https://id.biodiversity.org.au/node/apni/2915178,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2916038,0,1,0,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2910803,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/node/apni/2912711,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2891382,0,0,1,1,0,0,1,0
https://id.biodiversity.org.au/node/apni/2919912,0,0,0,1,0,1,1,0
https://id.biodiversity.org.au/node/apni/2895219,0,0,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2907499,0,0,0,0,0,0,1,0
https://id.biodiversity.org.au/node/apni/2899470,0,0,0,0,1,1,0,1
https://id.biodiversity.org.au/node/apni/2914881,1,1,1,1,1,1,1,0
https://id.biodiversity.org.au/node/apni/2913524,0,1,1,1,0,0,0,0
https://id.biodiversity.org.au/taxon/apni/51269933,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2901147,0,0,0,1,1,0,1,0
https://id.biodiversity.org.au/node/apni/2899585,0,0,0,0,1,0,0,0
https://id.biodiversity.org.au/node/apni/2917975,0,1,0,0,0,0,0,0
https://id.biodiversity.org.au/node/apni/2889370,0,0,0,0,0,1,0,0
https://id.biodiversity.org.au/name/apni/8926509,0,0,0,1,0,0,0,0
