guid,occurrence_by_state,flower_color,flowering_season,plant_size
https://id.biodiversity.org.au/node/apni/2894326,"New South Wales, Northern Territory, Queensland, Western Australia","Brown, Green, Lilac, Pink, White, Yellow","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2894413,"New South Wales, South Australia, Victoria","Green, Pink","Autumn, Summer",Small
https://id.biodiversity.org.au/node/apni/2894524,"New South Wales, Victoria","Cream, Yellow","Autumn, Summer, Winter",Shrub
https://id.biodiversity.org.au/node/apni/2894533,New South Wales,"Brown, Green, Red",,Small
https://id.biodiversity.org.au/node/apni/2894561,,Cream,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2894608,Western Australia,"Pink, White","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2894726,Queensland,"Green, Red, Scarlet","Spring, Summer",Shrub
https://id.biodiversity.org.au/node/apni/2894741,"Northern Territory, Queensland, Western Australia","Brown, Red","Spring, Summer, Winter",Tree
https://id.biodiversity.org.au/node/apni/2894847,"New South Wales, Queensland, Victoria","Cream, White, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2894915,"New South Wales, Queensland, South Australia, Victoria","Cream, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2894924,"New South Wales, Queensland","Red, Yellow",,Small
https://id.biodiversity.org.au/node/apni/2895137,"New South Wales, Queensland","Cream, Pink, Yellow","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2895225,Western Australia,"Cream, Gold, Green, Grey, Red, White","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2895240,Western Australia,"Pink, Purple, Red, Violet, White, Yellow","Spring, Summer, Winter",Small
https://id.biodiversity.org.au/node/apni/2895245,Western Australia,"Purple, Yellow",Spring,Large
https://id.biodiversity.org.au/node/apni/2895255,New South Wales,"Green, Pink, Purple, Yellow","Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2895451,"New South Wales, Queensland","Mauve, Pink, Purple, White",Summer,Medium
https://id.biodiversity.org.au/node/apni/2895496,New South Wales,"Green, Grey, White, Yellow",Spring,Small
https://id.biodiversity.org.au/node/apni/2895572,"New South Wales, South Australia, Victoria","Pink, Purple, White","Autumn, Spring",Prostrate
https://id.biodiversity.org.au/node/apni/2895645,"New South Wales, Queensland",Grey,"Spring, Summer",Small
https://id.biodiversity.org.au/node/apni/2895692,Western Australia,"Pink, White","Spring, Winter",Small
https://id.biodiversity.org.au/node/apni/2895920,Tasmania,"Green, Red, White, Yellow",Summer,Shrub
https://id.biodiversity.org.au/node/apni/2896043,Western Australia,Yellow,"Spring, Summer",Medium
